CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
alb_rename_albania_desc;Albania rightfully belongs to $COUNTRY$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;x
alb_rename_albania_title;Rename Albania!;;;;;;;;;;;;;x
alb_rename_debar_desc;Debar rightfully belongs to $COUNTRY$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;x
alb_rename_debar_title;Rename Debar!;;;;;;;;;;;;;x
alb_rename_kosovo_desc;Kosovo is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;x
alb_rename_kosovo_title;Rename Kosovo!;;;;;;;;;;;;;x
alb_rename_prespa_desc;Mala Prespa rightfully belongs to $COUNTRY$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;x
alb_rename_prespa_title;Rename Mala Prespa!;;;;;;;;;;;;;x
albanian_rename_epirus_desc;Epiri is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;x
albanian_rename_epirus_title;Rename Epiri!;;;;;;;;;;;;;x
banat_rename_aus_desc;Banat is rightfully $COUNTRY_ADJ$, and should use German names.;;;;;;;;;;;;;x
banat_rename_aus_title;Rename Banat!;;;;;;;;;;;;;x
banat_rename_hun_desc;Banat is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;x
banat_rename_hun_title;Rename Banat!;;;;;;;;;;;;;x
banat_rename_rom_desc;Banat is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;x
banat_rename_rom_title;Rename Banat!;;;;;;;;;;;;;x
banat_rename_ser_desc;Banat is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;x
banat_rename_ser_title;Rename Banat!;;;;;;;;;;;;;x
beneluxian_rename_friesland_desc;Friesland was and forever will be a Dutch province! Let us undo the damage the Germans have done!;;;;;;;;;;;;;x
beneluxian_rename_friesland_title;Rename Friesland;;;;;;;;;;;;;x
beneluxian_rename_holland_desc;Despite the attempts of the Germans to assimilate us we managed to retake the Dutch homeland. Therefore, let us begin our recovery by renaming our cities.;;;;;;;;;;;;;x
beneluxian_rename_holland_title;Rename Holland;;;;;;;;;;;;;x
beneluxian_rename_vlaanderen_desc;With our victory against the Germans, we have managed to retake our lands. Let us restore order to these provinces by renaming the cities.;;;;;;;;;;;;;x
beneluxian_rename_vlaanderen_title;Rename Vlaanderen;;;;;;;;;;;;;x
beneluxian_rename_wallonien_desc;The Germans thought that they could take Wallonia, but oh were they wrong! Let us restore order to our region!;;;;;;;;;;;;;x
beneluxian_rename_wallonien_title;Rename Wallonia;;;;;;;;;;;;;x
beneluxian_rename_zeeland_desc;Despite the attempts of the Germans to assimilate us we managed to retake part of the Dutch homeland. Therefore, let us begin our recovery by renaming our cities.;;;;;;;;;;;;;x
beneluxian_rename_zeeland_title;Rename Zeeland;;;;;;;;;;;;;x
bessarabia_rename_rom_desc;Bessarabia is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;x
bessarabia_rename_rom_title;Rename Bessarabia!;;;;;;;;;;;;;x
bessarabia_rename_rus_desc;Bessarabia is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;x
bessarabia_rename_rus_title;Rename Bessarabia!;;;;;;;;;;;;;x
bohemia_rename_aus_desc;Bohemia is rightfully $COUNTRY_ADJ$, and should use German names.;;;;;;;;;;;;;x
bohemia_rename_aus_title;Rename Bohemia;;;;;;;;;;;;;x
bohemia_rename_czh_desc;Bohemia is rightfully $COUNTRY_ADJ$, and should use Czech names.;;;;;;;;;;;;;x
bohemia_rename_czh_title;Rename Bohemia;;;;;;;;;;;;;x
bukovina_rename_aus_desc;Bukovina is rightfully $COUNTRY_ADJ$, and should use German names.;;;;;;;;;;;;;x
bukovina_rename_aus_title;Rename Bukovina!;;;;;;;;;;;;;x
bukovina_rename_rom_desc;Bukovina is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;x
